Data-hora	eH	PH	BP	PH-S	BT	Nome	Categoria	Chamada?	Bonde?	Chuva?	🗺️	📝	🎨	Post IG	Rota	Ativ. Strava	Ativ. RWGPS	Horário	Partida	Chegada	# presentes	# novos	# strava	kJ anunc.	kJ med.	% Mov	Tempo Total	Tempo Mov	Potência Média	Quilojaules Ag. Total	litros gasolina ag total	Tempo Ag. Total	Tempo Ag. Mov	#midias
2025-07-15 20:00	51	45	-	-	-	Pirajuçara da Foz à Nascente e Cabeçeiras do rio do Morro do S	regular	sim	não	não	dandan	alef	gmard	https://www.instagram.com/pedalhidrografico/p/DMGodnSO1Qc/	https://ridewithgps.com/routes/51701965	https://www.strava.com/activities/15128831942	https://ridewithgps.com/trips/308448012	20:00	20:32	00:01	11	1		380	415	63%	3:29	2:12	48	4,180	0.13	38:19	24:12	64
2025-07-22 20:00	52	46	-	-	-	Contorno Central da Enchente de 1929 e pizza no brás	regular	sim	não	não	dandan	alef	pedpaula	https://www.instagram.com/p/DMY_UtgOaoz/	https://ridewithgps.com/routes/51812173	https://www.strava.com/activities/15205460813	https://ridewithgps.com/trips/311291182	20:00	20:24	22:55	32	17	12	280	220	50%	2:31	1:16	61	8,960	0.27	80:32	40:32	108
2025-07-29 20:00	53	47	-	-	-	Margens destras do Jaguaré, mirante da década de 40 e pastel de Oz	regular	sim	não	não	thiagoneves	thiagoneves	giucuci	https://www.instagram.com/p/DMqJrLbu66G/	https://ridewithgps.com/routes/51937044	https://www.strava.com/activities/15282241846		20:00	20:15	23:11	26	3	3	337		51%	2:56	1:30	62	8,762	0.27	76:16	39:00	123
2025-08-03 08:00	54	48	-	-	-	Sopés da Cantareira: Tremembé, Linha Verde e Piqueri	regular	sim	sim	não	thiagoneves	thiagoneves	thiagoneves	https://www.instagram.com/p/DM2jxeIOHJ6/	https://ridewithgps.com/routes/50737426	https://www.strava.com/activities/15335370363	https://ridewithgps.com/trips/315904182	08:00	08:56	12:59	16	0	6	392	462	49%	4:03	2:00	54	6,272	0.19	64:48	32:00	70
2025-08-05 20:00	55	49	-	-	-	Pontos de Sela da Média Leste	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DM9AQl_uj-j/	https://ridewithgps.com/routes/52046213	https://www.strava.com/activities/15359926735	https://ridewithgps.com/trips/316651618	20:00	20:25	23:24	11	4	8	381	420	57%	2:59	1:42	62	4,191	0.13	32:49	18:42	109
2025-08-12 20:00	56	50	-	-	-	Subir Rio Uberaba, descer rio Cupucê	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DNPJZ3JOtPZ/	https://ridewithgps.com/routes/52162083	https://www.strava.com/activities/15440098422	https://ridewithgps.com/trips/319368371	20:00	20:20	23:15	7	1	3	360	410	64%	2:55	1:52	54	2,520	0.08	20:25	13:04	65
2025-08-19 20:00	57	51	-	-	-	O Itaquera	regular	sim	sim	não	dandan	dandan	dandan	https://www.instagram.com/p/DNgw3pBBoaV/?img_index=1	https://ridewithgps.com/routes/52269074	https://www.strava.com/activities/15519701128	https://ridewithgps.com/trips/322119459	20:00	20:28	22:50	3	0	1	373	460	77%	2:22	1:50	57	1,119	0.03	7:06	5:30	76
2025-08-26 20:00	58	52	-	-	-	Rampa do Sapateiro, Uberaba e Traição	regular	sim	não	sim	dandan	giucuci	giucuci	https://www.instagram.com/p/DNzHbJjWDhL/	https://ridewithgps.com/routes/52165449	https://www.strava.com/activities/15599902076	https://ridewithgps.com/trips/324857605	20:00	20:31	23:19	5	0	3	358	430	74%	2:48	2:04	48	1,790	0.05	14:00	10:20	64
2025-08-30 00:00	59	-	-	5	-	Parque do Juqueri e DIB	especial	sim	não	não	thiagoneves	n/a	n/a	n/a		https://www.strava.com/activities/15642221584	https://ridewithgps.com/trips/326339300				8	0	2	1200	1500		9:03	4:08	81	9,600	0.29	72:24	33:04	321
2025-09-02 20:00	60	53	-	-	-	Contornar Paraisópolis	regular	sim	não	não	dandan	alef	alef	https://www.instagram.com/p/DOGOOV5joSC/	https://ridewithgps.com/routes/52165232	https://www.strava.com/activities/15678489119	https://ridewithgps.com/trips/327543738	20:00	20:28	22:20	9	2	3	276		70%	1:52	1:18	59	2,484	0.08	16:48	11:42	15
